Algeria,Africa,Northern Africa,31471000,69.7
Angola,Africa,Central Africa,12878000,38.3
Benin,Africa,Western Africa,6097000,50.2
Botswana,Africa,Southern Africa,1622000,39.3
Burkina Faso,Africa,Western Africa,11937000,46.7
Burundi,Africa,Eastern Africa,6695000,46.2
Cameroon,Africa,Central Africa,15085000,54.8
Cape Verde,Africa,Western Africa,428000,68.9
Central African Republic,Africa,Central Africa,3615000,44
Chad,Africa,Central Africa,7651000,50.5
Comoros,Africa,Eastern Africa,578000,60
Congo,Africa,Central Africa,2943000,47.4
Congo; The Democratic Republic of the,Africa,Central Africa,51654000,48.8
Cote d-Ivoire,Africa,Western Africa,14786000,45.2
Djibouti,Africa,Eastern Africa,638000,50.8
Egypt,Africa,Northern Africa,68470000,63.3
Equatorial Guinea,Africa,Central Africa,453000,53.6
Eritrea,Africa,Eastern Africa,3850000,55.8
Ethiopia,Africa,Eastern Africa,62565000,45.2
Gabon,Africa,Central Africa,1226000,50.1
Gambia,Africa,Western Africa,1305000,53.2
Ghana,Africa,Western Africa,20212000,57.4
Guinea,Africa,Western Africa,7430000,45.6
Guinea-Bissau,Africa,Western Africa,1213000,49
Kenya,Africa,Eastern Africa,30080000,48
Lesotho,Africa,Southern Africa,2153000,50.8
Liberia,Africa,Western Africa,3154000,51
Libyan Arab Jamahiriya,Africa,Northern Africa,5605000,75.5
Madagascar,Africa,Eastern Africa,15942000,55
Malawi,Africa,Eastern Africa,10925000,37.6
Mali,Africa,Western Africa,11234000,46.7
Mauritania,Africa,Western Africa,2670000,50.8
Mauritius,Africa,Eastern Africa,1158000,71
Mayotte,Africa,Eastern Africa,149000,59.5
Morocco,Africa,Northern Africa,28351000,69.1
Mozambique,Africa,Eastern Africa,19680000,37.5
Namibia,Africa,Southern Africa,1726000,42.5
Niger,Africa,Western Africa,10730000,41.3
Nigeria,Africa,Western Africa,111506000,51.6
Reunion,Africa,Eastern Africa,699000,72.7
Rwanda,Africa,Eastern Africa,7733000,39.3
Saint Helena,Africa,Western Africa,6000,76.8
Sao Tome and Principe,Africa,Central Africa,147000,65.3
Senegal,Africa,Western Africa,9481000,62.2
Seychelles,Africa,Eastern Africa,77000,70.4
Sierra Leone,Africa,Western Africa,4854000,45.3
Somalia,Africa,Eastern Africa,10097000,46.2
South Africa,Africa,Southern Africa,40377000,51.1
Sudan,Africa,Northern Africa,29490000,56.6
Swaziland,Africa,Southern Africa,1008000,40.4
Tanzania,Africa,Eastern Africa,33517000,52.3
Togo,Africa,Western Africa,4629000,54.7
Tunisia,Africa,Northern Africa,9586000,73.7
Uganda,Africa,Eastern Africa,21778000,42.9
Western Sahara,Africa,Northern Africa,293000,49.8
Zambia,Africa,Eastern Africa,9169000,37.2
Zimbabwe,Africa,Eastern Africa,11669000,37.8
Afghanistan,Asia,Southern and Central Asia,22720000,45.9
Armenia,Asia,Middle East,3520000,66.4
Azerbaijan,Asia,Middle East,7734000,62.9
Bahrain,Asia,Middle East,617000,73
Bangladesh,Asia,Southern and Central Asia,129155000,60.2
Bhutan,Asia,Southern and Central Asia,2124000,52.4
Brunei,Asia,Southeast Asia,328000,73.6
Cambodia,Asia,Southeast Asia,11168000,56.5
China,Asia,Eastern Asia,1277558000,71.4
Cyprus,Asia,Middle East,754700,76.7
East Timor,Asia,Southeast Asia,885000,46
Georgia,Asia,Middle East,4968000,64.5
Hong Kong,Asia,Eastern Asia,6782000,79.5
India,Asia,Southern and Central Asia,1013662000,62.5
Indonesia,Asia,Southeast Asia,212107000,68
Iran,Asia,Southern and Central Asia,67702000,69.7
Iraq,Asia,Middle East,23115000,66.5
Israel,Asia,Middle East,6217000,78.6
Japan,Asia,Eastern Asia,126714000,80.7
Jordan,Asia,Middle East,5083000,77.4
Kazakstan,Asia,Southern and Central Asia,16223000,63.2
Kuwait,Asia,Middle East,1972000,76.1
Kyrgyzstan,Asia,Southern and Central Asia,4699000,63.4
Laos,Asia,Southeast Asia,5433000,53.1
Lebanon,Asia,Middle East,3282000,71.3
Macao,Asia,Eastern Asia,473000,81.6
Malaysia,Asia,Southeast Asia,22244000,70.8
Maldives,Asia,Southern and Central Asia,286000,62.2
Mongolia,Asia,Eastern Asia,2662000,67.3
Myanmar,Asia,Southeast Asia,45611000,54.9
Nepal,Asia,Southern and Central Asia,23930000,57.8
North Korea,Asia,Eastern Asia,24039000,70.7
Oman,Asia,Middle East,2542000,71.8
Pakistan,Asia,Southern and Central Asia,156483000,61.1
Palestine,Asia,Middle East,3101000,71.4
Philippines,Asia,Southeast Asia,75967000,67.5
Qatar,Asia,Middle East,599000,72.4
Saudi Arabia,Asia,Middle East,21607000,67.8
Singapore,Asia,Southeast Asia,3567000,80.1
South Korea,Asia,Eastern Asia,46844000,74.4
Sri Lanka,Asia,Southern and Central Asia,18827000,71.8
Syria,Asia,Middle East,16125000,68.5
Taiwan,Asia,Eastern Asia,22256000,76.4
Tajikistan,Asia,Southern and Central Asia,6188000,64.1
Thailand,Asia,Southeast Asia,61399000,68.6
Turkey,Asia,Middle East,66591000,71
Turkmenistan,Asia,Southern and Central Asia,4459000,60.9
United Arab Emirates,Asia,Middle East,2441000,74.1
Uzbekistan,Asia,Southern and Central Asia,24318000,63.7
Vietnam,Asia,Southeast Asia,79832000,69.3
Yemen,Asia,Middle East,18112000,59.8
Albania,Europe,Southern Europe,3401200,71.6
Andorra,Europe,Southern Europe,78000,83.5
Austria,Europe,Western Europe,8091800,77.7
Belarus,Europe,Eastern Europe,10236000,68
Belgium,Europe,Western Europe,10239000,77.8
Bosnia and Herzegovina,Europe,Southern Europe,3972000,71.5
Bulgaria,Europe,Eastern Europe,8190900,70.9
Croatia,Europe,Southern Europe,4473000,73.7
Czech Republic,Europe,Eastern Europe,10278100,74.5
Denmark,Europe,Nordic Countries,5330000,76.5
Estonia,Europe,Baltic Countries,1439200,69.5
Faroe Islands,Europe,Nordic Countries,43000,78.4
Finland,Europe,Nordic Countries,5171300,77.4
France,Europe,Western Europe,59225700,78.8
Germany,Europe,Western Europe,82164700,77.4
Gibraltar,Europe,Southern Europe,25000,79
Greece,Europe,Southern Europe,10545700,78.4
Hungary,Europe,Eastern Europe,10043200,71.4
Iceland,Europe,Nordic Countries,279000,79.4
Ireland,Europe,British Islands,3775100,76.8
Italy,Europe,Southern Europe,57680000,79
Latvia,Europe,Baltic Countries,2424200,68.4
Liechtenstein,Europe,Western Europe,32300,78.8
Lithuania,Europe,Baltic Countries,3698500,69.1
Luxembourg,Europe,Western Europe,435700,77.1
Macedonia,Europe,Southern Europe,2024000,73.8
Malta,Europe,Southern Europe,380200,77.9
Moldova,Europe,Eastern Europe,4380000,64.5
Monaco,Europe,Western Europe,34000,78.8
Netherlands,Europe,Western Europe,15864000,78.3
Norway,Europe,Nordic Countries,4478500,78.7
Poland,Europe,Eastern Europe,38653600,73.2
Portugal,Europe,Southern Europe,9997600,75.8
Romania,Europe,Eastern Europe,22455500,69.9
Russian Federation,Europe,Eastern Europe,146934000,67.2
San Marino,Europe,Southern Europe,27000,81.1
Slovakia,Europe,Eastern Europe,5398700,73.7
Slovenia,Europe,Southern Europe,1987800,74.9
Spain,Europe,Southern Europe,39441700,78.8
Sweden,Europe,Nordic Countries,8861400,79.6
Switzerland,Europe,Western Europe,7160400,79.6
Ukraine,Europe,Eastern Europe,50456000,66
United Kingdom,Europe,British Islands,59623400,77.7
Yugoslavia,Europe,Southern Europe,10640000,72.4
Anguilla,North America,Caribbean,8000,76.1
Antigua and Barbuda,North America,Caribbean,68000,70.5
Aruba,North America,Caribbean,103000,78.4
Bahamas,North America,Caribbean,307000,71.1
Barbados,North America,Caribbean,270000,73
Belize,North America,Central America,241000,70.9
Bermuda,North America,North America,65000,76.9
Canada,North America,North America,31147000,79.4
Cayman Islands,North America,Caribbean,38000,78.9
Costa Rica,North America,Central America,4023000,75.8
Cuba,North America,Caribbean,11201000,76.2
Dominica,North America,Caribbean,71000,73.4
Dominican Republic,North America,Caribbean,8495000,73.2
El Salvador,North America,Central America,6276000,69.7
Greenland,North America,North America,56000,68.1
Grenada,North America,Caribbean,94000,64.5
Guadeloupe,North America,Caribbean,456000,77
Guatemala,North America,Central America,11385000,66.2
Haiti,North America,Caribbean,8222000,49.2
Honduras,North America,Central America,6485000,69.9
Jamaica,North America,Caribbean,2583000,75.2
Martinique,North America,Caribbean,395000,78.3
Mexico,North America,Central America,98881000,71.5
Montserrat,North America,Caribbean,11000,78
Netherlands Antilles,North America,Caribbean,217000,74.7
Nicaragua,North America,Central America,5074000,68.7
Panama,North America,Central America,2856000,75.5
Puerto Rico,North America,Caribbean,3869000,75.6
Saint Kitts and Nevis,North America,Caribbean,38000,70.7
Saint Lucia,North America,Caribbean,154000,72.3
Saint Pierre and Miquelon,North America,North America,7000,77.6
Saint Vincent and the Grenadines,North America,Caribbean,114000,72.3
Trinidad and Tobago,North America,Caribbean,1295000,68
Turks and Caicos Islands,North America,Caribbean,17000,73.3
United States,North America,North America,278357000,77.1
Virgin Islands; British,North America,Caribbean,21000,75.4
Virgin Islands; U.S.,North America,Caribbean,93000,78.1
American Samoa,Oceania,Polynesia,68000,75.1
Australia,Oceania,Australia and New Zealand,18886000,79.8
Cook Islands,Oceania,Polynesia,20000,71.1
Fiji Islands,Oceania,Melanesia,817000,67.9
French Polynesia,Oceania,Polynesia,235000,74.8
Guam,Oceania,Micronesia,168000,77.8
Kiribati,Oceania,Micronesia,83000,59.8
Marshall Islands,Oceania,Micronesia,64000,65.5
Micronesia; Federated States of,Oceania,Micronesia,119000,68.6
Nauru,Oceania,Micronesia,12000,60.8
New Caledonia,Oceania,Melanesia,214000,72.8
New Zealand,Oceania,Australia and New Zealand,3862000,77.8
Northern Mariana Islands,Oceania,Micronesia,78000,75.5
Palau,Oceania,Micronesia,19000,68.6
Papua New Guinea,Oceania,Melanesia,4807000,63.1
Samoa,Oceania,Polynesia,180000,69.2
Solomon Islands,Oceania,Melanesia,444000,71.3
Tonga,Oceania,Polynesia,99000,67.9
Tuvalu,Oceania,Polynesia,12000,66.3
Vanuatu,Oceania,Melanesia,190000,60.6
Argentina,South America,South America,37032000,75.1
Bolivia,South America,South America,8329000,63.7
Brazil,South America,South America,170115000,62.9
Chile,South America,South America,15211000,75.7
Colombia,South America,South America,42321000,70.3
Ecuador,South America,South America,12646000,71.1
French Guiana,South America,South America,181000,76.1
Guyana,South America,South America,861000,64
Paraguay,South America,South America,5496000,73.7
Peru,South America,South America,25662000,70
Suriname,South America,South America,417000,71.4
Uruguay,South America,South America,3337000,75.2
Venezuela,South America,South America,24170000,73.1
